"NB_MUNICIPIO","SG_UNIDADE_FEDERACAO"
"Ribeirão Bonito - SP","SP"
"Ribeirão Branco - SP","SP"
"Ribeirão Corrente - SP","SP"
"Ribeirão do Sul - SP","SP"
"Ribeirão dos Índios - SP","SP"
"Ribeirão Grande - SP","SP"
"Ribeirão Pires - SP","SP"
"Ribeirão Preto - SP","SP"
"Rifaina - SP","SP"
"Rincão - SP","SP"
"Rinópolis - SP","SP"
"Rio Claro - SP","SP"
"Rio das Pedras - SP","SP"
"Rio Grande da Serra - SP","SP"
"Riolândia - SP","SP"
"Riversul - SP","SP"
"Rosana - SP","SP"
"Roseira - SP","SP"
"Rubiácea - SP","SP"
"Rubinéia - SP","SP"
"Sabino - SP","SP"
"Sagres - SP","SP"
"Sales - SP","SP"
"Sales Oliveira - SP","SP"
"Salesópolis - SP","SP"
"Salmourão - SP","SP"
"Saltinho - SP","SP"
"Salto - SP","SP"
"Salto de Pirapora - SP","SP"
"Salto Grande - SP","SP"
"Sandovalina - SP","SP"
"Santa Adélia - SP","SP"
"Santa Albertina - SP","SP"
"Santa Bárbara d'Oeste - SP","SP"
"Santa Branca - SP","SP"
"Santa Clara d'Oeste - SP","SP"
"Santa Cruz da Conceição - SP","SP"
"Santa Cruz da Esperança - SP","SP"
"Santa Cruz das Palmeiras - SP","SP"
"Santa Cruz do Rio Pardo - SP","SP"
"Santa Ernestina - SP","SP"
"Santa Fé do Sul - SP","SP"
"Santa Gertrudes - SP","SP"
"Santa Isabel - SP","SP"
"Santa Lúcia - SP","SP"
"Santa Maria da Serra - SP","SP"
"Santa Mercedes - SP","SP"
"Santa Rita do Passa Quatro - SP","SP"
"Santa Rita d'Oeste - SP","SP"
"Santa Rosa de Viterbo - SP","SP"
"Santa Salete - SP","SP"
"Santana da Ponte Pensa - SP","SP"
"Santana de Parnaíba - SP","SP"
"Santo Anastácio - SP","SP"
"Santo André - SP","SP"
"Santo Antônio da Alegria - SP","SP"
"Santo Antônio de Posse - SP","SP"
"Santo Antônio do Aracanguá - SP","SP"
"Santo Antônio do Jardim - SP","SP"
"Santo Antônio do Pinhal - SP","SP"
"Santo Expedito - SP","SP"
"Santópolis do Aguapeí - SP","SP"
"Santos - SP","SP"
"São Bento do Sapucaí - SP","SP"
"São Bernardo do Campo - SP","SP"
"São Caetano do Sul - SP","SP"
"São Carlos - SP","SP"
"São Francisco - SP","SP"
"São João da Boa Vista - SP","SP"
"São João das Duas Pontes - SP","SP"
"São João de Iracema - SP","SP"
"São João do Pau d'Alho - SP","SP"
"São Joaquim da Barra - SP","SP"
"São José da Bela Vista - SP","SP"
"São José do Barreiro - SP","SP"
"São José do Rio Pardo - SP","SP"
"São José do Rio Preto - SP","SP"
"São José dos Campos - SP","SP"
"São Lourenço da Serra - SP","SP"
"São Luiz do Paraitinga - SP","SP"
"São Manuel - SP","SP"
"São Miguel Arcanjo - SP","SP"
"São Paulo - SP","SP"
"São Pedro - SP","SP"
"São Pedro do Turvo - SP","SP"
"São Roque - SP","SP"
"São Sebastião - SP","SP"
"São Sebastião da Grama - SP","SP"
"São Simão - SP","SP"
"São Vicente - SP","SP"
"Sarapuí - SP","SP"
"Sarutaiá - SP","SP"
"Sebastianópolis do Sul - SP","SP"
"Serra Azul - SP","SP"
"Serra Negra - SP","SP"
"Serrana - SP","SP"
"Sertãozinho - SP","SP"
"Sete Barras - SP","SP"
"Severínia - SP","SP"
"Silveiras - SP","SP"
"Socorro - SP","SP"
"Sorocaba - SP","SP"
"Sud Mennucci - SP","SP"
"Sumaré - SP","SP"
"Suzanápolis - SP","SP"
"Suzano - SP","SP"
"Tabapuã - SP","SP"
"Tabatinga - SP","SP"
"Taboão da Serra - SP","SP"
"Taciba - SP","SP"
"Taguaí - SP","SP"
"Taiaçu - SP","SP"
"Taiúva - SP","SP"
"Tambaú - SP","SP"
"Tanabi - SP","SP"
"Tapiraí - SP","SP"
"Tapiratiba - SP","SP"
"Taquaral - SP","SP"
"Taquaritinga - SP","SP"
"Taquarituba - SP","SP"
"Taquarivaí - SP","SP"
"Tarabai - SP","SP"
"Tarumã - SP","SP"
"Tatuí - SP","SP"
"Taubaté - SP","SP"
"Tejupá - SP","SP"
"Teodoro Sampaio - SP","SP"
"Terra Roxa - SP","SP"
"Tietê - SP","SP"
"Timburi - SP","SP"
"Torre de Pedra - SP","SP"
"Torrinha - SP","SP"
"Trabiju - SP","SP"
"Tremembé - SP","SP"
"Três Fronteiras - SP","SP"
"Tuiuti - SP","SP"
"Tupã - SP","SP"
"Tupi Paulista - SP","SP"
"Turiúba - SP","SP"
"Turmalina - SP","SP"
"Ubarana - SP","SP"
"Ubatuba - SP","SP"
"Ubirajara - SP","SP"
"Uchoa - SP","SP"
"União Paulista - SP","SP"
"Urânia - SP","SP"
"Uru - SP","SP"
"Urupês - SP","SP"
"Valentim Gentil - SP","SP"
"Valinhos - SP","SP"
"Valparaíso - SP","SP"
"Vargem - SP","SP"
"Vargem Grande do Sul - SP","SP"
"Vargem Grande Paulista - SP","SP"
"Várzea Paulista - SP","SP"
"Vera Cruz - SP","SP"
"Vinhedo - SP","SP"
"Viradouro - SP","SP"
"Vista Alegre do Alto - SP","SP"
"Vitória Brasil - SP","SP"
"Votorantim - SP","SP"
"Votuporanga - SP","SP"
"Zacarias - SP","SP"
"Abreulândia - TO","TO"
"Aguiarnópolis - TO","TO"
"Aliança do Tocantins - TO","TO"
"Almas - TO","TO"
"Alvorada - TO","TO"
"Ananás - TO","TO"
"Angico - TO","TO"
"Aparecida do Rio Negro - TO","TO"
"Aragominas - TO","TO"
"Araguacema - TO","TO"
"Araguaçu - TO","TO"
"Araguaína - TO","TO"
"Araguanã - TO","TO"
"Araguatins - TO","TO"
"Arapoema - TO","TO"
"Arraias - TO","TO"
"Augustinópolis - TO","TO"
"Aurora do Tocantins - TO","TO"
"Axixá do Tocantins - TO","TO"
"Babaçulândia - TO","TO"
"Bandeirantes do Tocantins - TO","TO"
"Barra do Ouro - TO","TO"
"Barrolândia - TO","TO"
"Bernardo Sayão - TO","TO"
"Bom Jesus do Tocantins - TO","TO"
"Brasilândia do Tocantins - TO","TO"
"Brejinho de Nazaré - TO","TO"
"Buriti do Tocantins - TO","TO"
"Cachoeirinha - TO","TO"
"Campos Lindos - TO","TO"
"Cariri do Tocantins - TO","TO"
"Carmolândia - TO","TO"
"Carrasco Bonito - TO","TO"
"Caseara - TO","TO"
"Centenário - TO","TO"
"Chapada da Natividade - TO","TO"
"Chapada de Areia - TO","TO"
"Colinas do Tocantins - TO","TO"
"Colméia - TO","TO"
"Combinado - TO","TO"
"Conceição do Tocantins - TO","TO"
"Couto Magalhães - TO","TO"
"Cristalândia - TO","TO"
"Crixás do Tocantins - TO","TO"
"Darcinópolis - TO","TO"
"Dianópolis - TO","TO"
"Divinópolis do Tocantins - TO","TO"
"Dois Irmãos do Tocantins - TO","TO"
"Dueré - TO","TO"
"Esperantina - TO","TO"
"Fátima - TO","TO"
"Figueirópolis - TO","TO"
"Filadélfia - TO","TO"
"Formoso do Araguaia - TO","TO"
"Fortaleza do Tabocão - TO","TO"
"Goianorte - TO","TO"
"Goiatins - TO","TO"
"Guaraí - TO","TO"
"Gurupi - TO","TO"
"Ipueiras - TO","TO"
"Itacajá - TO","TO"
"Itaguatins - TO","TO"
"Itapiratins - TO","TO"
"Itaporã do Tocantins - TO","TO"
"Jaú do Tocantins - TO","TO"
"Juarina - TO","TO"
"Lagoa da Confusão - TO","TO"
"Lagoa do Tocantins - TO","TO"
"Lajeado - TO","TO"
"Lavandeira - TO","TO"
"Lizarda - TO","TO"
"Luzinópolis - TO","TO"
"Marianópolis do Tocantins - TO","TO"
"Mateiros - TO","TO"
"Maurilândia do Tocantins - TO","TO"
"Miracema do Tocantins - TO","TO"
"Miranorte - TO","TO"
"Monte do Carmo - TO","TO"
"Monte Santo do Tocantins - TO","TO"
"Muricilândia - TO","TO"
"Natividade - TO","TO"
"Nazaré - TO","TO"
"Nova Olinda - TO","TO"
"Nova Rosalândia - TO","TO"
"Novo Acordo - TO","TO"
"Novo Alegre - TO","TO"
"Novo Jardim - TO","TO"
"Oliveira de Fátima - TO","TO"
"Palmas - TO","TO"
"Palmeirante - TO","TO"
"Palmeiras do Tocantins - TO","TO"
"Palmeirópolis - TO","TO"
"Paraíso do Tocantins - TO","TO"
"Paranã - TO","TO"
"Pau d'Arco - TO","TO"
"Pedro Afonso - TO","TO"
"Peixe - TO","TO"
"Pequizeiro - TO","TO"
"Pindorama do Tocantins - TO","TO"
"Piraquê - TO","TO"
"Pium - TO","TO"
"Ponte Alta do Bom Jesus - TO","TO"
"Ponte Alta do Tocantins - TO","TO"
"Porto Alegre do Tocantins - TO","TO"
"Porto Nacional - TO","TO"
"Praia Norte - TO","TO"
"Presidente Kennedy - TO","TO"
"Pugmil - TO","TO"
"Recursolândia - TO","TO"
"Riachinho - TO","TO"
"Rio da Conceição - TO","TO"
"Rio dos Bois - TO","TO"
"Rio Sono - TO","TO"
"Sampaio - TO","TO"
"Sandolândia - TO","TO"
"Santa Fé do Araguaia - TO","TO"
"Santa Maria do Tocantins - TO","TO"
"Santa Rita do Tocantins - TO","TO"
"Santa Rosa do Tocantins - TO","TO"
"Santa Tereza do Tocantins - TO","TO"
"Santa Terezinha do Tocantins - TO","TO"
"São Bento do Tocantins - TO","TO"
"São Félix do Tocantins - TO","TO"
"São Miguel do Tocantins - TO","TO"
"São Salvador do Tocantins - TO","TO"
"São Sebastião do Tocantins - TO","TO"
"São Valério da Natividade - TO","TO"
"Silvanópolis - TO","TO"
"Sítio Novo do Tocantins - TO","TO"
"Sucupira - TO","TO"
"Taguatinga - TO","TO"
"Taipas do Tocantins - TO","TO"
"Talismã - TO","TO"
"Tocantínia - TO","TO"
"Tocantinópolis - TO","TO"
"Tupirama - TO","TO"
"Tupiratins - TO","TO"
"Wanderlândia - TO","TO"
"Xambioá - TO","TO"
